18600;Vallentuna;Stockholm;Vallentuna
18601;Vallentuna;Stockholm;Vallentuna
18603;Brottby;Stockholm;Vallentuna
18621;Vallentuna;Stockholm;Vallentuna
18622;Vallentuna;Stockholm;Vallentuna
18623;Vallentuna;Stockholm;Vallentuna
18624;Vallentuna;Stockholm;Vallentuna
18625;Vallentuna;Stockholm;Vallentuna
18626;Vallentuna;Stockholm;Vallentuna
18630;Vallentuna;Stockholm;Vallentuna
18631;Vallentuna;Stockholm;Vallentuna
18632;Vallentuna;Stockholm;Vallentuna
18633;Vallentuna;Stockholm;Vallentuna
18634;Vallentuna;Stockholm;Vallentuna
18635;Vallentuna;Stockholm;Vallentuna
18636;Vallentuna;Stockholm;Vallentuna
18637;Vallentuna;Stockholm;Vallentuna
18638;Vallentuna;Stockholm;Vallentuna
18639;Vallentuna;Stockholm;Vallentuna
18640;Vallentuna;Stockholm;Vallentuna
18641;Vallentuna;Stockholm;Vallentuna
18642;Vallentuna;Stockholm;Vallentuna
18643;Vallentuna;Stockholm;Vallentuna
18644;Vallentuna;Stockholm;Vallentuna
18645;Vallentuna;Stockholm;Vallentuna
18646;Vallentuna;Stockholm;Vallentuna
18649;Vallentuna;Stockholm;Vallentuna
18650;Vallentuna;Stockholm;Vallentuna
18651;Vallentuna;Stockholm;Vallentuna
18652;Vallentuna;Stockholm;Vallentuna
18653;Vallentuna;Stockholm;Vallentuna
18654;Vallentuna;Stockholm;Vallentuna
18655;Vallentuna;Stockholm;Vallentuna
18660;Vallentuna;Stockholm;Vallentuna
18670;Brottby;Stockholm;Vallentuna
18686;Vallentuna;Stockholm;Vallentuna
18691;Vallentuna;Stockholm;Vallentuna
18692;Vallentuna;Stockholm;Vallentuna
18693;Vallentuna;Stockholm;Vallentuna
18694;Vallentuna;Stockholm;Vallentuna
18695;Vallentuna;Stockholm;Vallentuna
18696;Vallentuna;Stockholm;Vallentuna
18697;Brottby;Stockholm;Vallentuna
13025;Ingmarsö;Stockholm;Österåker
18400;Åkersberga;Stockholm;Österåker
18403;Ljusterö;Stockholm;Österåker
18410;Åkersberga;Stockholm;Österåker
18421;Åkersberga;Stockholm;Österåker
18422;Åkersberga;Stockholm;Österåker
18423;Åkersberga;Stockholm;Österåker
18424;Åkersberga;Stockholm;Österåker
18425;Åkersberga;Stockholm;Österåker
18426;Åkersberga;Stockholm;Österåker
18427;Åkersberga;Stockholm;Österåker
18428;Åkersberga;Stockholm;Österåker
